time,price,size,brs,title,link,location
2016-09-27 11:26:00,3355.0,950.0,2.0,ONE MONTH FREE RENOVATED 2 Bedroom in a ParkLike Setting,/eby/apa/5801836082.html,berkeley
2016-09-27 11:18:00,3832.0,1066.0,3.0,Beautiful and Spacious 3 Bedroom Loft....Amazing Price,/eby/apa/5801834212.html,berkeley
2016-09-27 11:10:00,1897.0,370.0,1.0,Last 1 Bedroom in Gaia.....Great Price,/eby/apa/5801817643.html,berkeley
2016-09-27 11:03:00,1860.0,465.0,1.0,Great Price Lovely 1 Bedroom Facing The Courtyard,/eby/apa/5801803551.html,berkeley
2016-09-27 10:47:00,2025.0,,1.0,2301 8th St Great Location Nicely Updated  Washer/Dryer in Unit,/eby/apa/5772410799.html,berkeley
2016-09-27 10:46:00,2950.0,,1.0,Welcome to The SouthGate  Apartments UNITS RENTING FAST SECURE YOURS,/eby/apa/5772678633.html,berkeley
2016-09-27 10:35:00,2700.0,1200.0,2.0,Panoramic retreat 2bd. with a great view,/eby/apa/5801747726.html,berkeley
2016-09-27 10:30:00,4211.0,912.0,2.0, Make an appoinment today Move in by this week,/eby/apa/5801737655.html,berkeley
2016-09-27 10:19:00,3595.0,1059.0,2.0,2 plus Berkeley Single Family home near North Berkeley Bart,/eby/apa/5798278399.html,berkeley
2016-09-27 10:17:00,2250.0,,1.0,Open House Saturday 10/1 11 am1 pm,/eby/apa/5801711453.html,berkeley
2016-09-27 10:17:00,3275.0,706.0,1.0,Luxury  Convenience all at Parker Movein special Hurry in,/eby/apa/5801711035.html,berkeley
2016-09-27 10:17:00,4150.0,958.0,2.0,Spacious 2BR unit with stunning views  1500 off 1st months rent,/eby/apa/5801710507.html,berkeley
2016-09-27 10:09:00,4175.0,840.0,2.0,TWO BED TWO BATH FOR IMMEDIATE MOVE IN FULLY FURNISHED,/eby/apa/5801695384.html,berkeley
2016-09-27 09:54:00,3874.0,1106.0,2.0,Spacious Modern and Clean Two Bedroom Home for Rent,/eby/apa/5801630622.html,berkeley
2016-09-27 09:37:00,2450.0,,1.0,New Californian Open House,/eby/apa/5796185246.html,berkeley
2016-09-27 09:31:00,2355.0,632.0,1.0,The One Bedroom Home Of Your Dreams,/eby/apa/5801616400.html,berkeley
2016-09-27 09:28:00,2825.0,716.0,1.0,Amazing 1 bedroom available in October,/eby/apa/5772096130.html,berkeley
2016-09-27 09:28:00,2925.0,787.0,1.0,BRIGHT 1 BEDROOM WITH DEN,/eby/apa/5768779948.html,berkeley
2016-09-27 09:24:00,1650.0,,1.0,Lovely studio with loft inlaw unit,/eby/apa/5801603034.html,berkeley
2016-09-27 09:24:00,3615.0,654.0,2.0, Make an appoinment today Move in by this week,/eby/apa/5801601839.html,berkeley
2016-09-27 09:17:00,4600.0,,2.0,North Berkeley 2 Bungalow Short Term Furnished Rental Available Now,/eby/apa/5793064828.html,berkeley
2016-09-27 09:15:00,2750.0,1100.0,1.0,Charming SemiFurnished One Bedroom North Berkeley Condominium,/eby/apa/5774548397.html,berkeley
2016-09-27 07:50:00,1275.0,,2.0,1 Bedroom Available in 2 Bedroom Near UC Berkeley,/eby/apa/5797560575.html,berkeley
2016-09-26 23:35:00,2950.0,,2.0,Gated apartment building in a safe and popular neighborhood,/eby/apa/5801077548.html,berkeley
2016-09-26 21:09:00,2500.0,650.0,1.0,Sunny top floor Elmwood apartment in charming Berkeley triplex,/eby/apa/5801002648.html,berkeley
2016-09-26 19:56:00,2195.0,450.0,1.0,Awesome Apt in Downtown Berkeley,/eby/apa/5800945090.html,berkeley
2016-09-26 19:36:00,3995.0,,3.0,3 bdrm remodel close to UCB campus AVL 12/1 12/15 or 1/1/17  WardA,/eby/apa/5800928910.html,berkeley
2016-09-26 18:53:00,2400.0,,1.0,Elmwood Classic Building,/eby/apa/5800889234.html,berkeley
2016-09-26 17:37:00,1495.0,400.0,1.0,Junior 1 bedroom Apartment,/eby/apa/5773803823.html,berkeley
2016-09-26 17:31:00,3695.0,1088.0,2.0,Right Around the Corner From Every Where You Want To Be,/eby/apa/5800787020.html,berkeley
2016-09-26 17:08:00,2825.0,716.0,1.0,Lrg 1x1 in beautiful LEEDCertified Green Bldg Pet Friendly,/eby/apa/5774026514.html,berkeley
2016-09-26 17:07:00,2900.0,709.0,1.0,Fully Furnished Fitness Center,/eby/apa/5797240090.html,berkeley
2016-09-26 17:07:00,4150.0,958.0,2.0,New luxury 2BR at Parker 1500 off your 1st months rent Tour today,/eby/apa/5800769759.html,berkeley
2016-09-26 17:06:00,2825.0,716.0,1.0,Fully secured community Bocce Ball Court,/eby/apa/5772752990.html,berkeley
2016-09-26 17:06:00,2200.0,850.0,1.0,Newly renovated LARGE 1 bedroom/1 bath apartment,/eby/apa/5800769130.html,berkeley
2016-09-26 17:06:00,1950.0,575.0,1.0,1 Bedroom  Utilities included,/eby/apa/5800768857.html,berkeley
2016-09-26 17:06:00,2925.0,787.0,1.0,Spacious  Charming 1 bedroom with Den Near Berkeley Bowl,/eby/apa/5773826452.html,berkeley
2016-09-26 17:03:00,3275.0,706.0,1.0,Live in luxury A variety of 1BR layouts at Parker  Special offer,/eby/apa/5800765024.html,berkeley
2016-09-26 15:14:00,3495.0,,2.0,Very Special Apartment Classic Gourmet Ghetto Berkeley Gem W/ Views,/eby/apa/5800605675.html,berkeley
2016-09-26 15:08:00,2600.0,620.0,1.0,Stunning 1 bedroom near BART upstairs from Trader Joes,/eby/apa/5794272588.html,berkeley
2016-09-26 14:56:00,2800.0,,2.0,Apt blocks from UC Berkeley and DowntownTwo units available,/eby/apa/5781821548.html,berkeley
2016-09-26 14:41:00,2750.0,,2.0,Clean  Updated Steps to Cal Telegraph  Berkeley Bowl,/eby/apa/5800551576.html,berkeley
2016-09-26 14:39:00,2595.0,830.0,2.0,Super convenient and clean 2bd/1ba apt with parking and storage,/eby/apa/5773730359.html,berkeley
2016-09-26 14:31:00,3920.0,734.0,2.0, Amazing two bedroom apartment ready now,/eby/apa/5800535193.html,berkeley
2016-09-26 14:29:00,2390.0,,1.0,Comfortable Furnished 1 Bedroom Apartment in Berkeley,/eby/apa/5800508059.html,berkeley
2016-09-26 14:27:00,2390.0,,1.0,Cozy Comfortable Furnished 1 Bedroom Apartment in Berkeley,/eby/apa/5800515100.html,berkeley
2016-09-26 14:13:00,2390.0,,1.0,Comfy Private Room in DT Berkeley All utilities and internet incl.,/eby/apa/5800485853.html,berkeley
2016-09-26 14:11:00,3595.0,710.0,2.0,First 30 Days Free Large 2Bd New Construction on University Avenue,/eby/apa/5800499779.html,berkeley
2016-09-26 14:10:00,2800.0,,2.0,Utilities  Internet Included AND FREE 1 MO RENT Brand New 2BR,/eby/apa/5800498884.html,berkeley
2016-09-26 14:06:00,2600.0,800.0,2.0,2600/ 2 Bedrooms in Berkeley,/eby/apa/5788955404.html,berkeley
2016-09-26 14:05:00,2600.0,800.0,2.0,2600/ 2 Bedrooms in Berkeley,/eby/apa/5788966225.html,berkeley
2016-09-26 14:04:00,2600.0,800.0,2.0,2600/ 2 Bedrooms in Berkeley,/eby/apa/5788989051.html,berkeley
2016-09-26 13:54:00,3995.0,,3.0,Beautiful 3 Bedroom Nr UCB Campus and Ashby / Central Avl NOW Ward A,/eby/apa/5793215256.html,berkeley
2016-09-26 13:29:00,4150.0,958.0,2.0,Lease at Parker today Spacious 2x1 w/open concept kitchen  SPECIAL,/eby/apa/5800424479.html,berkeley
2016-09-26 13:27:00,3275.0,706.0,1.0,Parkers leasing office is NOW open New luxury 1BR near Bart/UCB,/eby/apa/5800419474.html,berkeley
2016-09-26 13:09:00,2245.0,,1.0,One Bedroom in the Heart of Rockridge 5blks to BART,/eby/apa/5769424653.html,berkeley
2016-09-26 13:09:00,1780.0,,2.0,Great Location 2 Bedroom APT Close to BART and UC Berkeley,/eby/apa/5800385748.html,berkeley
2016-09-26 12:42:00,1945.0,440.0,1.0,Beautiful SUNNY unit Near North Berkeley BARTHearstWest,/eby/apa/5800335303.html,berkeley
2016-09-26 12:40:00,2825.0,868.0,1.0,Your Spacious 1 BEDROOM Awaits,/eby/apa/5796085794.html,berkeley
2016-09-26 12:39:00,2925.0,787.0,1.0,Spacious 1 Bedroom with Den,/eby/apa/5770902869.html,berkeley
2016-09-26 12:38:00,2900.0,709.0,1.0,Fully Furnished Fitness Center,/eby/apa/5796264920.html,berkeley
2016-09-26 12:38:00,2825.0,716.0,1.0,Pet friendly building,/eby/apa/5770870625.html,berkeley
2016-09-26 12:37:00,2925.0,787.0,1.0,Ecofriendly design LEED Certified luxury apts,/eby/apa/5772911062.html,berkeley
2016-09-26 12:36:00,2750.0,,2.0,1590 OREGON ST BERKELEY500 MOVE IN BONUS,/eby/apa/5785267643.html,berkeley
2016-09-26 12:31:00,2000.0,,1.0,Elmwood Newly Remodle one bedroomClose to UC Berkeley,/eby/apa/5800313051.html,berkeley
2016-09-26 12:31:00,2750.0,,2.0,FANTASTIC 2 BED 500 MOVE IN SPECIAL,/eby/apa/5785239342.html,berkeley
2016-09-26 12:28:00,2195.0,450.0,1.0,1 Bedroom at 2020 Bancroft Way 212,/eby/apa/5800306528.html,berkeley
2016-09-26 12:23:00,2400.0,,1.0,Apt on North Side of UC Berkeley,/eby/apa/5779003816.html,berkeley
2016-09-26 12:23:00,2700.0,,2.0,Apt near Southside of UC Berkeley,/eby/apa/5778955912.html,berkeley
2016-09-26 12:23:00,2650.0,700.0,2.0,Sunny Townhouse unit on quiet street can be furnished,/eby/apa/5800270909.html,berkeley
2016-09-26 12:07:00,2800.0,,2.0, Just Remodeled  2 Bd / 1 B apt. near UCB,/eby/apa/5780405500.html,berkeley
2016-09-26 12:06:00,2800.0,,2.0, Magnificent  2 Bed / 1 Bath apartment near UC Berkeley,/eby/apa/5780595544.html,berkeley
2016-09-26 12:04:00,2395.0,,2.0,SHOWN TODAY,/eby/apa/5796847304.html,berkeley
2016-09-26 12:01:00,2695.0,,2.0,Beautiful 2BR on Quiet TreeLined Street,/eby/apa/5791095395.html,berkeley
2016-09-26 12:01:00,2495.0,,1.0,Charming 1BR in Ideal Berkeley Neighborhood,/eby/apa/5791084713.html,berkeley
2016-09-26 11:57:00,2395.0,,2.0,Shown Tonight and Wednesday,/eby/apa/5800244495.html,berkeley
2016-09-26 11:55:00,2195.0,550.0,1.0,ONE BEDROOM APT. DOWNTOWN BERKELEY,/eby/apa/5800240332.html,berkeley
2016-09-26 11:47:00,3720.0,789.0,2.0, Special Deal Move in this week ,/eby/apa/5800225719.html,berkeley
2016-09-26 11:46:00,3100.0,,2.0,Gorgeous updated 2 bedroom,/eby/apa/5800203613.html,berkeley
2016-09-26 11:37:00,3595.0,1059.0,2.0,Spacious 2 bedrooms /1.5 bath Centrally located in NORTH BERKELEY,/eby/apa/5800128064.html,berkeley
2016-09-26 11:35:00,2238.0,1029.0,2.0,Renovated 3 bed/2 bath Todays special rate 2350,/eby/apa/5800200587.html,berkeley
2016-09-26 11:31:00,2600.0,,1.0,Just A Walk To Most Errands On Foot 1654 Dwight Way For Rent,/eby/apa/5780438730.html,berkeley
2016-09-26 11:31:00,2750.0,,2.0,It Is Now Ready And Recently Renovated 2 bed 1 bath,/eby/apa/5774867338.html,berkeley
2016-09-26 11:30:00,2750.0,,1.0,1bed 1 bath Super Location In The Heart Of Berkeley,/eby/apa/5786582283.html,berkeley
2016-09-26 11:30:00,2750.0,,2.0,FOR RENT AT OREGON ST Berkeley,/eby/apa/5770755130.html,berkeley
2016-09-26 11:30:00,2600.0,,1.0,  MUST RENT  REDUCED RENT,/eby/apa/5755563961.html,berkeley
2016-09-26 11:30:00,2600.0,,1.0,So Close To Berkeley Campus,/eby/apa/5778568033.html,berkeley
2016-09-26 11:23:00,3495.0,,2.0,Avail. 10/10 Gorgeous 2 BD 1 blk to UC A Must See,/eby/apa/5792378546.html,berkeley
2016-09-26 11:21:00,4150.0,958.0,2.0,New luxury community Spacious 2BR w/wood floor  SS appliances,/eby/apa/5800173165.html,berkeley
2016-09-26 11:21:00,2695.0,,2.0,Avail Now Gorgeous Remodeled 2 BED in Triplex,/eby/apa/5800145922.html,berkeley
2016-09-26 11:20:00,3275.0,706.0,1.0,Move in special Parker offers a variety of 1BR floor plans,/eby/apa/5800170176.html,berkeley
2016-09-26 11:17:00,2695.0,,2.0,Avail. Now Gorgeous Remodeled 2 BED in Triplex,/eby/apa/5800140705.html,berkeley
2016-09-26 11:12:00,1933.0,742.0,2.0,Move in Ready  Apply Now,/eby/apa/5800154658.html,berkeley
2016-09-26 11:10:00,1850.0,,1.0,Brand New Remodeled ON SOLANO Berk/Albany Border  Open TUE6pm,/eby/apa/5778299076.html,berkeley
2016-09-26 11:09:00,3850.0,,3.0,Avail Now 1 MONTH FREE RENT Brand New Luxury Addison Arts Apts,/eby/apa/5789513829.html,berkeley
2016-09-26 11:09:00,3095.0,,1.0,Avail. Now 1 MONTH FREE RENT Brand New Luxury Apts,/eby/apa/5789361039.html,berkeley
2016-09-26 11:08:00,3595.0,,2.0,Avail. Now 1 MONTH FREE RENT Brand New  Luxury Living,/eby/apa/5796779273.html,berkeley
2016-09-26 11:04:00,3450.0,2460.0,2.0,LARGE W. BERKELEY LIVE/WORK STUDIO w/YARD,/eby/apa/5800137348.html,berkeley
