,INSTNM,STABBR,ADM_RATE_ALL,SATMTMID,SATVRMID,SAT_AVG_ALL,AVGFACSAL,TUITFTE,TUITIONFEE_IN,TUITIONFEE_OUT,CONTROL,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,INC_PCT_LO,INC_PCT_M1,INC_PCT_M2,INC_PCT_H1,INC_PCT_H2,RET_FT4,PCTFLOAN,C150_4,mn_earn_wne_p10,md_earn_wne_p10,PFTFAC
4260,Virginia Commonwealth University,VA,869,550,555,1102,8242,9693,12002,29473,1,22049,0.5162,0.1842,0.0754,0.1213,0.0026,0.0029,0.0463,0.0293,0.022,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8659,0.5255,0.5681,47200,41800,0.6627
4261,University of Virginia-Main Campus,VA,97,685,670,1362,12428,17576,12668,40054,1,15020,0.607,0.063,0.0579,0.1224,0.0013,0.0003,0.0429,0.0565,0.0486,0.240809444,0.132209106,0.147048904,0.15851602,0.321416526,0.97,0.2414,0.9307,74400,58600,0.9466
4262,Virginia Military Institute,VA,306,580,570,1141,7426,12355,14404,35392,1,1675,0.8316,0.043,0.0436,0.0543,0.0018,0.0072,0.0155,0.003,0,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8411,0.4645,0.7585,60000,56600,1
4265,Virginia State University,VA,1471,403,410,811,7414,5310,7784,17192,1,5023,0.0231,0.8561,0.0185,0.0026,0.0028,0,0,0.001,0.096,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.6495,0.8463,0.4034,37500,34400,0.7374
4266,Virginia Union University,VA,557,375,380,750,5524,10362,15130,15130,2,1359,0.0059,0.9544,0.0125,0.0007,0.0029,0.0007,0.0088,0.0059,0.0081,0.558676028,0.19558676,0.120361083,0.083249749,0.042126379,0.5421,0.8698,0.3547,32600,31600,0.6525
4267,Virginia Wesleyan College,VA,1456,510,516,1021,7466,16202,32482,32482,2,1436,0.5759,0.2298,0.0634,0.0146,0.0063,0.0014,0.071,0.007,0.0306,0.315496098,0.150501672,0.189520624,0.15942029,0.185061316,0.6736,0.6506,0.4404,40900,38100,0.7068
4269,Washington and Lee University,VA,45,690,695,1392,12144,26455,44507,44507,2,1846,0.8337,0.0244,0.0347,0.0363,0.0011,0,0.0157,0.0325,0.0217,0.13986014,0.146853147,0.136363636,0.125874126,0.451048951,0.9666,0.2301,0.9024,89600,77600,0.7751
4282,Central Washington University,WA,1249,500,490,986,7306,6413,8976,20886,1,9958,0.6465,0.0292,0.1202,0.0522,0.005,0.004,0.0562,0.0036,0.0829,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.7387,0.5472,0.5132,47500,44900,0.6774
4291,Eastern Washington University,WA,1187,490,480,970,7287,7467,7961,19612,1,11672,0.6625,0.0351,0.1192,0.0298,0.0118,0.0029,0.0428,0.0279,0.0679,0.462573591,0.15117746,0.144028596,0.138351556,0.103868797,0.7479,0.5349,0.4524,44000,40500,0.6404
4295,The Evergreen State College,WA,1506,515,565,1081,7679,7560,8574,20661,1,4017,0.6594,0.052,0.0702,0.0224,0.0209,0.003,0.0722,0.0045,0.0953,0.621154884,0.130059363,0.102536427,0.075553157,0.070696168,0.7409,0.5371,0.5687,34700,31800,0.7294
4298,Gonzaga University,WA,780,600,590,1204,8626,18962,35062,35062,2,4830,0.7375,0.0101,0.0861,0.0387,0.0056,0.0046,0.0578,0.0271,0.0325,0.179608373,0.099932478,0.139095206,0.15800135,0.423362593,0.9425,0.5318,0.8228,57100,52800,0.5886
