,INSTNM,STABBR,ADM_RATE_ALL,SATMTMID,SATVRMID,SAT_AVG_ALL,AVGFACSAL,TUITFTE,TUITIONFEE_IN,TUITIONFEE_OUT,CONTROL,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,INC_PCT_LO,INC_PCT_M1,INC_PCT_M2,INC_PCT_H1,INC_PCT_H2,RET_FT4,PCTFLOAN,C150_4,mn_earn_wne_p10,md_earn_wne_p10,PFTFAC
1146,Concordia University-Chicago,IL,446,515,515,1030,4134,13210,27598,27598,2,1563,0.5592,0.142,0.2271,0.0205,0.0006,0.0026,0.032,0.0077,0.0083,0.367588933,0.190711463,0.172924901,0.159090909,0.109683795,0.673,0.7873,0.5348,43200,41500,0.6216
1151,DePaul University,IL,600,575,580,1163,10392,21544,33990,33990,2,16120,0.5561,0.0837,0.1717,0.073,0.001,0.0021,0.0371,0.0265,0.0488,0.37327478,0.153387704,0.147898369,0.12750941,0.197929737,0.8536,0.5915,0.7047,56800,50900,0.5034
1157,Elmhurst College,IL,944,515,500,1084,7596,14793,32920,32920,2,2819,0.7251,0.0454,0.1281,0.0465,0.0025,0.0014,0.0287,0.0025,0.0199,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.7821,0.7156,0.7402,50300,48100,0.4669
1158,Eureka College,IL,823,590,615,1053,5887,13580,20060,20060,2,667,0.8411,0.054,0.03,0.0105,0,0.0015,0.0225,0.003,0.0375,0.321899736,0.160949868,0.179419525,0.19525066,0.142480211,0.641,0.7931,0.6066,39800,37300,0.5227
1165,Greenville College,IL,753,555,491,1033,5649,11504,23612,23612,2,1101,0.7593,0.0817,0.0418,0.0091,0.0009,0,0.0236,0.0345,0.049,0.295321637,0.166666667,0.207602339,0.209064328,0.121345029,0.729,0.7263,0.5049,40000,37700,1
1170,Hebrew Theological College,IL,1452,495,535,1019,5525,4231,18605,18605,2,458,1,0,0,0,0,0,0,0,0,0.394308943,0.264227642,0.229674797,0.089430894,0.022357724,0.2182,0.0324,0.0484,28600,17600,0.2963
1173,University of Illinois at Chicago,IL,927,575,545,1092,9797,12091,13410,25800,1,16601,0.3791,0.0781,0.2474,0.2251,0.0014,0.0042,0.0245,0.0197,0.0205,0.459533608,0.195061728,0.156378601,0.095198903,0.093827161,0.7978,0.4838,0.5669,61700,51600,0.6538
1176,University of Illinois at Urbana-Champaign,IL,665,740,615,1303,11576,13770,14750,29132,1,31663,0.5315,0.0554,0.0825,0.1518,0.0006,0.0015,0.0253,0.1462,0.0052,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.9306,0.4097,0.838,65600,56600,0.7194
1177,Illinois Wesleyan University,IL,553,655,565,1241,7853,19780,39316,39316,2,2000,0.738,0.046,0.063,0.046,0.003,0.0005,0.014,0.049,0.0405,0.180081855,0.099590723,0.1473397,0.210095498,0.362892224,0.8755,0.6299,0.7807,62100,54600,0.7246
1179,Illinois College,IL,642,495,475,1024,5171,10968,27800,27800,2,981,0.7278,0.1244,0.0663,0.0082,0.001,0.001,0.0326,0.0296,0.0092,0.288888889,0.118518519,0.194444444,0.214814815,0.183333333,0.8134,0.768,0.6357,42000,37700,0.7664
1181,Illinois Institute of Technology,IL,511,690,580,1252,11256,19094,40117,40117,2,2855,0.373,0.0683,0.1471,0.1082,0.0042,0.0042,0.0046,0.2452,0.0452,0.411011524,0.165172855,0.149807939,0.139564661,0.134443022,0.8596,0.4559,0.625,71700,68200,0.5634
1191,Judson University,IL,911,545,500,1045,6071,12104,27530,27530,2,1020,0.5961,0.0598,0.1069,0.0167,0,0.002,0.0206,0.0382,0.1598,0.34767642,0.158347676,0.180722892,0.180722892,0.132530121,0.7226,0.8301,0.5,44700,37000,0.4224
1199,Lake Forest College,IL,518,565,565,1157,8231,15780,39842,39842,2,1577,0.5764,0.0615,0.1452,0.0488,0.0032,0.0013,0.0342,0.1015,0.0279,0.289634146,0.12195122,0.181402439,0.164634146,0.242378049,0.8221,0.6707,0.6376,55200,48100,0.5593
1204,Lewis University,IL,484,535,495,1088,9021,15275,26780,26780,2,4489,0.6471,0.076,0.1729,0.0341,0.0011,0.002,0.0209,0.0082,0.0376,0.310944105,0.152653828,0.166275247,0.178017849,0.192108971,0.8172,0.6674,0.6246,52400,47100,0.3606
1206,Lincoln Christian University,IL,861,380,445,996,5114,13726,16050,16050,2,613,0.8026,0.0995,0.0408,0.0212,0.0114,0.0049,0.0114,0.0016,0.0065,0.401234568,0.179012346,0.200617284,0.145061728,0.074074074,0.6712,0.7496,0.4667,32600,29300,0.8868
1210,Loyola University Chicago,IL,1427,580,575,1195,9432,22327,35573,35573,2,9931,0.6138,0.0354,0.1266,0.1131,0.001,0.0015,0.0575,0.03,0.021,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8541,0.6567,0.7101,56800,50600,0.5019
1216,MacMurray College,IL,1048,465,415,964,5360,13222,22400,22400,2,542,0.7491,0.1347,0.0461,0.0055,0.0037,0,0.0258,0,0.0351,0.417690418,0.157248157,0.191646192,0.132678133,0.100737101,0.6712,0.8336,0.384,39900,36700,0.5821
1219,McKendree University,IL,677,510,485,1046,6641,10561,26050,26050,2,2312,0.699,0.1462,0.0398,0.0104,0.0091,0.0048,0.0121,0.0147,0.064,0.362331839,0.169506727,0.181165919,0.166816144,0.120179372,0.7465,0.5946,0.4832,45000,42500,1
1223,Millikin University,IL,466,510,530,1087,5844,12527,28644,28644,2,2122,0.7587,0.1239,0.0561,0.0075,0.0014,0.0009,0.0358,0.0123,0.0033,0.317073171,0.148954704,0.183797909,0.168118467,0.182055749,0.7652,0.761,0.5979,47400,42900,0.6753
1224,Monmouth College,IL,715,490,515,1049,6770,12890,31500,31500,2,1247,0.6672,0.1307,0.1067,0.0112,0.0072,0.0016,0.0104,0.0184,0.0465,0.332867133,0.138461539,0.212587413,0.156643357,0.159440559,0.7588,0.8164,0.5827,43800,40700,0.6767
1238,Northern Illinois University,IL,487,515,500,1010,7834,7618,12976,22072,1,15782,0.5909,0.1672,0.13,0.0485,0.0018,0.0011,0.0293,0.0137,0.0175,0.443698143,0.15264059,0.144606875,0.13156855,0.127485842,0.6646,0.6689,0.5095,47700,43900,0.7883
1240,Northwestern University,IL,31,745,725,1458,14525,28590,45527,45527,2,8855,0.5432,0.0567,0.0966,0.1704,0.0026,0,0.0473,0.0688,0.0145,0.215156333,0.137784844,0.154742978,0.153683095,0.33863275,0.9769,0.3456,0.9419,85600,64100,0.845
1249,Quincy University,IL,1387,535,455,1048,5436,9165,25834,25834,2,1166,0.7127,0.1072,0.0369,0.0137,0.0069,0.0026,0.0154,0.0043,0.1003,0.350954479,0.164464024,0.18061674,0.164464024,0.139500734,0.6718,0.717,0.5043,42300,38500,0.4538
1257,Rockford University,IL,209,559,458,1029,5567,13521,26710,26710,2,963,0.6698,0.0737,0.0561,0.0187,0.001,0.0021,0.0852,0.0073,0.0862,0.434146342,0.177235772,0.146341463,0.146341463,0.095934959,0.581,0.9234,0.3947,41100,39100,0.4464
1258,Roosevelt University,IL,1169,515,555,1035,7992,19952,26500,26500,2,3596,0.4652,0.203,0.1949,0.0539,0.0028,0.0019,0.032,0.0256,0.0206,0.471569047,0.154766994,0.145361266,0.10773835,0.120564344,0.5832,0.6706,0.4144,47500,44600,0.3691
1259,Dominican University,IL,604,550,515,1031,6685,14554,28810,28810,2,2020,0.4436,0.0673,0.4045,0.0312,0.001,0.002,0.0119,0.0282,0.0104,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8247,0.6566,0.6311,46600,44400,0.4464
1262,University of St Francis,IL,388,530,545,1070,7543,15719,27970,27970,2,1757,0.7223,0.074,0.1343,0.0262,0.004,0.004,0.0205,0.0125,0.0023,0.326380368,0.142331288,0.16196319,0.186503068,0.182822086,0.7909,0.7678,0.5657,47900,44600,1
1264,Saint Xavier University,IL,368,493,513,1010,7886,12927,28970,28970,2,2891,0.5022,0.1633,0.2342,0.0263,0.0024,0,0.0173,0.0024,0.0519,0.423572744,0.178023327,0.156537753,0.124616329,0.117249847,0.7548,0.7819,0.4714,48400,45300,0.4472
1265,University of Illinois at Springfield,IL,596,553,544,1085,7464,6839,9178,16498,1,2959,0.6773,0.1338,0.0595,0.0368,0.0014,0.001,0.0247,0.0291,0.0365,0.476418319,0.166097061,0.151059467,0.125085441,0.081339713,0.7435,0.5521,0.4308,44600,41800,0.6066
1278,Southern Illinois University-Carbondale,IL,1172,545,520,1032,7208,9537,12093,24716,1,13220,0.6435,0.2026,0.0709,0.0179,0.0025,0.0011,0.0285,0.0316,0.0014,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.6044,0.6109,0.4337,47000,41500,0.8605
1279,Southern Illinois University-Edwardsville,IL,1302,535,525,1050,7859,8030,9666,20610,1,11179,0.7457,0.1452,0.0362,0.0153,0.0023,0.0013,0.0289,0.0096,0.0155,0.375637505,0.143978031,0.16045508,0.168105139,0.151824245,0.693,0.6017,0.5041,46700,39800,0.7077
1284,Trinity Christian College,IL,1410,545,545,1053,6506,17333,24435,24435,2,1191,0.7162,0.0924,0.1075,0.0185,0.0059,0.0008,0.0168,0.026,0.016,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.7433,0.7533,0.5816,44100,41400,0.5782
1285,Trinity International University-Illinois,IL,1465,515,530,1049,7250,11132,26830,26830,2,899,0.6018,0.1491,0.0845,0.0267,0.0022,0.0011,0.0267,0.01,0.0979,0.429429429,0.192192192,0.166666667,0.10960961,0.102102102,0.6943,0.8743,0.4545,43200,38200,0.2317
1292,Wheaton College,IL,859,655,660,1318,8328,18657,30880,30880,2,2415,0.7822,0.0215,0.0493,0.082,0.0008,0,0.0451,0.0186,0.0004,0.219444444,0.120833333,0.168055556,0.195833333,0.295833333,0.9447,0.5068,0.8672,51500,42600,0.6603
1295,Anderson University,IN,473,520,520,1053,6395,12680,26280,26280,2,1862,0.811,0.0575,0.0269,0.007,0.0032,0.0027,0.0043,0.0328,0.0548,0.266868077,0.133937563,0.192346425,0.198388721,0.208459215,0.734,0.7139,0.5678,40500,35900,1
1297,Ball State University,IN,617,530,540,1053,7305,7383,9160,24124,1,15985,0.8317,0.0673,0.0348,0.0082,0.0009,0.0009,0.0195,0.0218,0.0149,0.274003687,0.145794923,0.188483903,0.204651822,0.187065664,0.7838,0.6139,0.5938,41700,39000,0.8249
1298,Bethel College-Indiana,IN,935,520,495,1047,5506,13453,24970,24970,2,1579,0.772,0.1248,0.0576,0.0044,0.0019,0.0032,0.0234,0.0108,0.0019,0.430155211,0.162971175,0.207317073,0.127494457,0.072062084,0.8407,0.7918,0.6466,39900,36500,0.98
1299,Butler University,IN,767,585,580,1212,7980,19522,34368,34368,2,3998,0.8269,0.0353,0.032,0.0283,0.002,0,0.014,0.0225,0.039,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.911,0.5844,0.7386,63100,52400,1
1300,Calumet College of Saint Joseph,IN,201,435,425,855,5564,14657,15620,15620,2,988,0.4028,0.2652,0.3148,0.003,0.0061,0,0.0071,0.001,0,0.561594203,0.134057971,0.137681159,0.115942029,0.050724638,0.6167,0.5559,0.3375,43300,37200,0.246
1305,DePauw University,IN,639,615,585,1215,8900,16598,40640,40640,2,2272,0.6822,0.0643,0.0335,0.0308,0.0035,0,0.0585,0.1004,0.0268,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.9221,0.4277,0.7922,58200,47800,0.836
1308,Earlham College,IN,694,600,645,1262,7391,14943,41450,41450,2,1016,0.5354,0.1348,0.0581,0.0374,0.0089,0,0.003,0.1969,0.0256,0.340314136,0.128272251,0.191099476,0.188481675,0.151832461,0.8776,0.5179,0.71,39000,32300,0.9434
1309,University of Evansville,IN,1299,560,545,1147,7658,13500,30596,30596,2,2373,0.7758,0.0278,0.0291,0.0139,0.0013,0.0004,0.024,0.0885,0.0392,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8571,0.549,0.6344,44900,40000,0.656
1310,Franklin College,IN,607,510,500,1010,6524,12848,27695,27695,2,969,0.8411,0.0454,0.0144,0.0031,0.0031,0,0.032,0.0144,0.0464,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.7276,0.7797,0.571,44900,41000,0.7304
1311,Goshen College,IN,464,555,545,1123,5509,14115,28500,28500,2,778,0.7172,0.0398,0.1195,0.0064,0,0,0.0296,0.0823,0.0051,0.29076087,0.163043478,0.217391304,0.214673913,0.114130435,0.7679,0.6314,0.703,39100,36300,0.7526
1312,Grace College and Theological Seminary,IN,1171,515,519,1050,5839,8046,23970,23970,2,1286,0.818,0.042,0.0319,0.0109,0.0031,0.0023,0.0295,0.0031,0.0591,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.7674,0.5817,0.6053,36300,33200,1
1315,Hanover College,IN,787,555,545,1130,7847,12306,31760,31760,2,1159,0.8223,0.0449,0.0242,0.0104,0.0043,0,0.0242,0.0457,0.0242,0.226449275,0.152173913,0.184782609,0.219202899,0.217391304,0.8091,0.6866,0.7186,47000,44400,0.9238
1317,Holy Cross College,IN,968,480,495,1014,4545,13361,25450,25450,2,490,0.751,0.0592,0.0959,0.0163,0.0041,0,0.0102,0.0469,0.0163,0.2890625,0.14453125,0.171875,0.18359375,0.2109375,0.6466,0.6044,0.4886,43500,36300,0.4667
1322,Huntington University,IN,1510,500,505,1054,5945,10779,24040,24040,2,1030,0.8816,0.0204,0.034,0.0049,0.0029,0.001,0.0146,0.0408,0,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.7941,0.7142,0.623,38500,35500,1
1338,Indiana University-Purdue University-Fort Wayne,IN,1276,500,490,996,7355,5645,7013,16845,1,9795,0.8205,0.0542,0.0513,0.0218,0.0032,0.0003,0.0264,0.0165,0.0057,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.6719,0.4984,0.2594,38800,35900,0.9353
1339,Indiana University-Purdue University-Indianapolis,IN,880,510,495,1013,7713,10524,8756,29571,1,21569,0.7233,0.105,0.0532,0.0355,0.0015,0.0007,0.0329,0.0344,0.0136,0.412117854,0.155629445,0.176595548,0.145284936,0.110372218,0.7195,0.5366,0.4161,44700,39100,0.5751
1350,University of Indianapolis,IN,1309,510,500,1018,6903,13724,24660,24660,2,4108,0.6865,0.1093,0.0314,0.0083,0.0024,0.0015,0.0224,0.0755,0.0628,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.7368,0.6715,0.571,43900,41600,0.9885
1351,Indiana Institute of Technology,IN,966,468,450,934,6965,6358,24860,24860,2,5670,0.4776,0.3945,0.0393,0.0041,0.0042,0.0014,0.0203,0.0132,0.0453,0.719347219,0.121108009,0.084174361,0.049388018,0.025982392,0.5476,0.8535,0.3201,45700,41100,1
1352,University of Southern Indiana,IN,875,505,495,1004,6363,4864,6698,15553,1,8764,0.8625,0.0448,0.0088,0.0086,0.0022,0.001,0.0201,0.0267,0.0253,0.326137841,0.141742523,0.188036411,0.210663199,0.133420026,0.6879,0.542,0.3954,38100,35500,0.5682
1353,Indiana State University,IN,1274,455,455,910,7071,5564,8256,17992,1,10173,0.6728,0.1821,0.0348,0.011,0.0024,0.0006,0.0297,0.0577,0.009,0.430771893,0.171685704,0.171685704,0.13637937,0.089477328,0.6353,0.6121,0.4159,38600,36000,0.7051
1354,Indiana University-Kokomo,IN,1005,470,475,950,5680,4930,6675,17778,1,2708,0.8394,0.0403,0.0421,0.0092,0.0033,0.0015,0.0258,0.003,0.0355,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.6086,0.3954,0.2756,36500,33600,0.5093
1355,Indiana University-South Bend,IN,898,480,480,962,5575,5333,6816,17778,1,5538,0.7687,0.0726,0.0746,0.0141,0.0022,0.0005,0.0271,0.0206,0.0197,0.452108649,0.162258756,0.189778413,0.13652609,0.059328092,0.6346,0.4083,0.258,35600,33800,0.5782
1356,Indiana University-Bloomington,IN,961,600,575,1198,9431,16225,10209,32350,1,31984,0.7313,0.0406,0.0438,0.0384,0.0012,0.0007,0.031,0.1075,0.0056,0.238293673,0.12907117,0.152209672,0.182256826,0.298168659,0.8982,0.3936,0.7705,53400,45300,0.8555
1357,Indiana University-Northwest,IN,1096,450,450,918,6557,5114,6739,17778,1,4764,0.5626,0.1982,0.1732,0.0227,0.0023,0.0017,0.0199,0.001,0.0185,0.5243309,0.122871046,0.119626926,0.139091646,0.094079481,0.6794,0.4578,0.259,39200,35900,0.4709
1358,Indiana University-Southeast,IN,1183,475,475,950,6539,5156,6700,17778,1,5699,0.8579,0.0602,0.0288,0.014,0.0018,0.0018,0.0239,0.0033,0.0084,0.448005698,0.173076923,0.163817664,0.135327635,0.07977208,0.6081,0.4133,0.3014,36400,34000,1
1359,Indiana University-East,IN,434,460,465,943,5755,4719,6639,17778,1,3132,0.8924,0.0358,0.0236,0.0067,0.0019,0.0016,0.0179,0.0042,0.016,0.476713762,0.180533752,0.181057038,0.124018838,0.037676609,0.6749,0.4334,0.2348,32300,29100,0.3836
1372,Manchester University,IN,920,510,500,1017,6924,10893,27920,27920,2,1188,0.846,0.0354,0.048,0.0118,0.0025,0.0008,0.032,0.0202,0.0034,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.6882,0.9173,0.4873,40500,38000,0.7676
1373,Marian University,IN,537,515,505,1024,5762,13214,28400,28400,2,2054,0.7537,0.1363,0.0351,0.0122,0.0015,0.001,0.0204,0.0049,0.0351,0.348856209,0.159313726,0.175653595,0.158496732,0.157679739,0.7037,0.7265,0.524,42400,40400,0.4569
1375,Indiana Wesleyan University,IN,1478,535,525,1083,6853,10115,23628,23628,2,10625,0.7624,0.1762,0.0299,0.0072,0.0037,0.001,0.016,0.0014,0.0021,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.7776,0.6958,0.655,51800,46000,1
1383,University of Notre Dame,IN,59,725,705,1450,12629,21742,44605,44605,2,8466,0.7126,0.0357,0.1024,0.0601,0.0039,0.0001,0.039,0.0408,0.0054,0.119047619,0.083850932,0.124223603,0.17184265,0.501035197,0.9861,0.4142,0.9486,88000,69400,0.8839
1384,Oakland City University,IN,988,490,480,988,3610,10681,19200,19200,2,587,0.7683,0.0579,0.0204,0.0051,0.0034,0.0017,0.0102,0.063,0.0698,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.79,0.1337,0.6299,38100,33700,0.7989
1386,Purdue University-Calumet Campus,IN,622,485,490,975,7937,6683,6624,14966,1,7466,0.5742,0.1362,0.1689,0.023,0.002,0.0019,0.0165,0.0545,0.0228,0.437316716,0.149560117,0.163489736,0.144794721,0.10483871,0.6876,0.4291,0.3131,42400,38100,0.9528
1387,Purdue University-North Central Campus,IN,962,480,475,954,6971,4733,7186,17105,1,3514,0.8224,0.0518,0.0808,0.008,0.0054,0.0014,0.0219,0.0083,0,0.433497537,0.137383689,0.164203613,0.162014231,0.102900931,0.6105,0.3509,0.2638,39300,35200,0.9619
1390,Rose-Hulman Institute of Technology,IN,488,695,605,1310,8411,22285,42654,42654,2,2165,0.7755,0.0245,0.0286,0.037,0.0018,0.0018,0.0346,0.0924,0.0037,0.157123835,0.085219707,0.153129161,0.247669774,0.356857523,0.9123,0.5776,0.7284,78200,78900,0.9053
1392,University of Saint Francis-Fort Wayne,IN,429,490,485,981,5666,14943,25180,25180,2,1878,0.8211,0.065,0.0634,0.008,0.0048,0.0016,0.0181,0.0043,0.0138,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.6991,0.7907,0.5356,43700,40000,0.6219
1393,Saint Josephs College,IN,711,500,485,998,5443,6332,27350,27350,2,1096,0.792,0.0894,0.0474,0.0027,0.0064,0,0.0228,0.0064,0.0328,0.259187621,0.143133462,0.195357834,0.232108317,0.170212766,0.7191,0.5718,0.4367,43000,39800,1
1394,Saint Mary-of-the-Woods College,IN,1512,445,455,895,4867,12258,27672,27672,2,630,0.8524,0.0444,0.0095,0.0048,0.0111,0,0,0.0048,0.073,0.510309278,0.175257732,0.152061856,0.100515464,0.06185567,0.7681,0.7361,0.6049,30900,30200,0.338
1395,Saint Mary's College,IN,1330,545,555,1141,6258,17632,34600,34600,2,1470,0.7721,0.0143,0.1177,0.015,0,0,0.0279,0.0163,0.0367,0.180743243,0.109797297,0.162162162,0.177364865,0.369932432,0.8753,0.6167,0.7119,48600,45600,0.6682
1399,Taylor University,IN,1368,580,590,1214,6365,16421,28753,28753,2,1873,0.8735,0.023,0.0267,0.0256,0.0027,0.0021,0.0075,0.0379,0.0011,0.209912536,0.10787172,0.183673469,0.208454811,0.290087464,0.8936,0.4475,0.7415,43000,38600,0.6293
1400,Trine University,IN,917,560,520,1095,7319,10936,28850,28850,2,1431,0.8393,0.0231,0.03,0.0014,0.0035,0.0014,0.0203,0.0363,0.0447,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.7415,0.6083,0.512,45100,42600,1
1401,Valparaiso University,IN,1188,565,545,1158,7280,17416,33480,33480,2,3209,0.7457,0.0533,0.0673,0.0156,0.0012,0.0006,0.0227,0.0826,0.0109,0.237170596,0.111650485,0.173370319,0.235090153,0.242718447,0.8636,0.601,0.7013,52600,48100,0.684
1412,Central College,IA,757,535,525,1089,6790,14535,30700,30700,2,1303,0.8956,0.0192,0.0269,0.0077,0.0023,0.0015,0.013,0.0038,0.0299,0.191304348,0.11826087,0.206956522,0.24,0.243478261,0.8281,0.7483,0.6493,46000,41200,0.8509
1413,Clarke University,IA,1133,513,500,1048,6109,15322,28000,28000,2,995,0.8784,0.0352,0.0342,0.006,0.006,0.001,0,0.0131,0.0261,0.245318352,0.15917603,0.198501873,0.232209738,0.164794008,0.7613,0.7859,0.6952,44000,40900,0.5743
1414,Coe College,IA,654,583,593,1166,7662,12732,35730,35730,2,1355,0.7882,0.0406,0.0546,0.0236,0.0022,0,0.0339,0.0192,0.0376,0.189111748,0.134670487,0.23782235,0.239255014,0.199140401,0.7879,0.7199,0.6667,46300,43800,0.561
1415,Cornell College,IA,707,580,595,1182,6592,12337,36430,36430,2,1122,0.6488,0.0535,0.1283,0.0312,0.0071,0.0027,0.0294,0.057,0.0419,0.275,0.152083333,0.202083333,0.216666667,0.154166667,0.8272,0.7331,0.6772,44800,41900,0.9518
1419,Dordt College,IA,1070,565,530,1119,5959,14324,26540,26540,2,1338,0.8371,0.0179,0.0157,0.0082,0.0015,0.0306,0,0.0845,0.0045,0.15497553,0.140293638,0.243066884,0.223491028,0.23817292,0.8041,0.651,0.623,42000,38400,1
1420,Drake University,IA,761,610,585,1240,9108,18444,30889,30889,2,3310,0.7937,0.0323,0.0326,0.0447,0.0018,0.0006,0.013,0.0695,0.0118,0.174092409,0.110561056,0.152640264,0.218646865,0.344059406,0.875,0.5311,0.727,68200,55700,0.6646
1421,University of Dubuque,IA,1129,455,450,926,6274,18183,25520,25520,2,1687,0.6675,0.1251,0.0717,0.013,0.0095,0.0018,0.0296,0.0065,0.0753,0.335917313,0.192937123,0.171403962,0.159345392,0.14039621,0.6393,0.8222,0.468,38900,36900,1
1425,Faith Baptist Bible College and Theological Seminary,IA,797,470,540,1028,4992,9772,15546,15546,2,220,0.9318,0.0182,0.0136,0.0091,0.0182,0.0045,0.0045,0,0,0.327731092,0.25210084,0.277310924,PrivacySuppressed,PrivacySuppressed,0.7021,0.5709,0.5934,29900,28100,0.6
1427,Graceland University-Lamoni,IA,360,452,455,969,4986,10433,23530,23530,2,1434,0.6471,0.0941,0.0739,0.0105,0.0056,0.0119,0.0377,0.0662,0.053,0.373033708,0.148314607,0.194382023,0.161797753,0.12247191,0.7031,0.6903,0.4704,40300,36600,1
1429,Grand View University,IA,1482,440,415,979,6421,13494,22628,22628,2,2079,0.7369,0.076,0.0279,0.0317,0.0048,0.0014,0.0332,0.0168,0.0712,0.345588235,0.156862745,0.174019608,0.165849673,0.157679739,0.6873,0.7132,0.4795,39700,39200,0.4095
1430,Grinnell College,IA,145,700,675,1357,9129,15346,43656,43656,2,1661,0.5798,0.059,0.0837,0.0753,0.0018,0,0.0427,0.1264,0.0313,0.246636771,0.165919283,0.208520179,0.19955157,0.179372197,0.9324,0.4158,0.8568,53200,45600,0.8313
1442,Iowa State University,IA,1259,605,540,1145,10027,9395,7726,20278,1,27112,0.7724,0.0253,0.0429,0.0269,0.0021,0.001,0.0195,0.0732,0.0367,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8713,0.5519,0.681,52500,47200,0.8288
1443,Iowa Wesleyan College,IA,609,464,461,1005,5473,12505,25550,25550,2,578,0.6488,0.064,0.0519,0.0069,0.0052,0.0035,0.0173,0.064,0.1384,0.385224274,0.171503958,0.216358839,0.142480211,0.084432718,0.4375,0.8341,0.2992,35400,34100,1
1445,University of Iowa,IA,1203,650,580,1208,10194,13317,8061,26931,1,21314,0.7159,0.0276,0.059,0.0303,0.0019,0.0009,0.0241,0.1,0.0403,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8584,0.4722,0.6962,58800,48700,0.8637
1451,Loras College,IA,867,477,505,1088,6173,12625,28852,28852,2,1521,0.8291,0.0224,0.0598,0.0079,0.002,0.0007,0.0151,0.025,0.0381,0.157381616,0.119777159,0.192200557,0.222841226,0.307799443,0.8102,0.7572,0.609,47200,41200,0.7485
1452,Luther College,IA,957,569,522,1175,7539,16383,37530,37530,2,2388,0.8597,0.0155,0.0314,0.0163,0.0008,0,0.0168,0.059,0.0004,0.12394958,0.080882353,0.198529412,0.272058824,0.324579832,0.8711,0.6874,0.7602,46400,42500,0.7352
1461,Northwestern College,IA,1089,525,514,1095,6206,11921,26764,26764,2,1147,0.8474,0.0227,0.0584,0.0096,0.0035,0,0.0166,0.0279,0.0139,0.196428571,0.130357143,0.2625,0.230357143,0.180357143,0.7914,0.7062,0.6327,39600,36200,0.9775
1479,Waldorf College,IA,370,465,463,980,5046,9351,20316,20316,3,1090,0.7147,0.1541,0.0706,0.0156,0.0064,0.0046,0.0064,0.0138,0.0138,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.487,0.7025,0.4255,39000,36400,0.7377
1480,Wartburg College,IA,1139,515,460,1077,6274,15149,34250,34250,2,1669,0.7789,0.0629,0.0234,0.0084,0.0012,0.0006,0.0198,0.0953,0.0096,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.8091,0.6875,0.6262,47100,43200,1
1484,William Penn University,IA,529,465,440,926,5792,8602,23210,23210,2,1558,0.6714,0.1502,0.0757,0.0128,0.0026,0.0032,0.0141,0.0327,0.0372,0.435847209,0.165523996,0.19294809,0.125367287,0.080313418,0.6094,0.8033,0.3978,45200,41200,0.9574
